people_id,roles_id
amber-mcewen,chief-executive
janine-smith-mnzm,board-chair
christian-hawkesby,acting-governor
professorneil-quigley,chairperson
geoff-williams,chief-executive
tania-tapsell,mayor
weston-kirton,mayor
clive-manley,chief-executive
julian-elder,chief-executive-officer
helen-anderson,board-chair
david-ward,chief-executive
sam-broughton,mayor
honcasey-costello,associate-minister-of-police
honmark-mitchell,minister-of-police
karen-chang,chief-executive-and-director
honnicola-willis,minister-for-social-investment
andrew-coster,chief-executive
honlouise-upston,minister-for-social-development-and-employment
honpenny-simmonds,associate-minister-for-social-development-and-employment
paul-kirby,registrar
sarah-clark,chief-executive
shannon-pakura,chair
phil-nixon,mayor
waid-crockett,chief-executive
gary-petley,mayor
miriam-taris,interim-chief-executive
harry-wilson,chief-executive
martin-connelly,mayor
alister-james,chair
anthony-honeybone,chief-executive
rob-scott,mayor
cameron-mcintosh,chief-executive
steve-mcknight,manager
lindsay-withington,chairperson
honchris-bishop,associate-minister-for-sport-and-recreation
honmark-mitchell,minister-for-sport-and-recreation
raelene-castle,chief-executive
bill-moran,chair
hon-drshane-reti,minister-of-statistics
mary-craig,acting-chief-executive-and-government-statistician
sven-hanne,chief-executive
neil-volzke,mayor
rebecca-keoghan,chair
chris-collins,chief-executive
david-pearson,chair
andrew-hudson,chief-executive
carl-blanchard,chairperson
honchris-bishop,minister-of-housing
evan-davies,chair
shelley-katae,chief-executive
chris-donald,chairman
steve-ruru,chief-executive
charlotte-littlewood,chairperson
bryan-nicholson,chief-executive
tracey-collis,mayor
leonie-rae,chief-executive
tim-king,mayor
honsimon-watts,minister-of-local-government
allan-prangnell,chief-executive
gareth-green,chief-executive
david-trewavas,mayor
mahe-drysdale,mayor
honsimeon-brown,minister-of-health
honmatt-doocey,associate-minister-of-health
honcasey-costello,associate-minister-of-health
rami-rahal,
rami-rahal,chief-executive
jane-wrightson,retirement-commissioner
mike-hollings,chief-executive
karen-sewell,chair
larry-parr-onzm,kaihautu
dreruera-prendergast-tarena,chair
poia-rewi,ceo
reikura-kahi,co-chair
bernie-o-donnell,co-chair
stephen-town,chief-executive
murray-strong,chair
dave-samuels,chief-executive-te-puni-kokiri
ngahiwi-apanui,chief-executive
professorrawinia-higgins,chairperson
hontama-potaka,minister-for-maori-development
drcharlotte-severne,maori-trustee-and-chief-executive
honte-ururoa-flavell,te-taiurungi-chief-executive
vanessa-eparaima,chairperson
mereana-selby,tumuaki
robin-hapi,chairperson
justicelayne-harvey,chair
wiremu-doherty,chief-executive
robyn-baker,
robyn-baker,chair
lesley-hoskin,chief-executive
brian-young,chief-executive
david-bone,chairperson
honpaul-goldsmith,minister-for-media-and-communications
honjenny-marcroft,parliamentary-under-secretary-to-the-minister-for-media-and-communications
jodi-o-donnell,chief-executive
alastair-carruthers,chairperson
charley-lamb,director
honerica-stanford,minister-of-education
honpenny-simmonds,minister-for-vocational-education
tim-fowler,chief-executive
jenn-bestwick,chairperson
aileen-lawrie,chief-executive
len-salt,mayor
hontama-potaka,minister-for-maori-crown-relations-te-arawhiti
lil-anderson,chief-executive
honchris-bishop,associate-minister-of-finance
honsimon-watts,minister-of-revenue
hondavid-seymour,associate-minister-of-finance
rt-honwinston-peters,deputy-prime-minister
honshane-jones,associate-minister-of-finance
drcaralee-mcliesh,secretary-and-chief-executive
bede-carran,chief-executive
nigel-bowen,mayor
drleon-de-wet-fourie,chief-executive
catherine-cooney,chairperson
