organisations_id,roles_id
ministry-of-housing-and-urban-development,associate-minister-of-housing-social-housing
ministry-of-housing-and-urban-development,chief-executive
ministry-of-justice,minister-of-justice
ministry-of-justice,minister-for-courts
ministry-of-justice,associate-minister-of-justice-firearms
ministry-of-justice,secretary-for-justice-and-chief-executive
ministry-of-social-development,minister-for-seniors
ministry-of-social-development,minister-for-social-development-and-employment
ministry-of-social-development,associate-minister-for-social-development-and-employment
ministry-of-social-development,chief-executive
ministry-of-transport,minister-of-transport
ministry-of-transport,associate-minister-of-transport
ministry-of-transport,chief-executive
ministry-of-youth-development,minister-for-youth
museum-of-new-zealand-te-papa-tongarewa,minister-for-arts-culture-and-heritage
museum-of-new-zealand-te-papa-tongarewa,tumu-whakarae-chief-executive
museum-of-new-zealand-te-papa-tongarewa,kaihautu-maori-co-leader
museum-of-new-zealand-te-papa-tongarewa,chairperson
napier-city-council,mayor
napier-city-council,chief-executive
national-advisory-council-on-the-employment-of-women,chairperson
national-cyber-security-centre,minister-responsible-for-the-ncsc
national-cyber-security-centre,deputy-director-general
national-emergency-management-agency,minister-for-emergency-management-and-recovery
national-emergency-management-agency,chief-executive
national-library-of-new-zealand,minister-of-internal-affairs
national-library-of-new-zealand,national-librarian
national-pacific-radio-trust,minister-for-media-and-communications
national-pacific-radio-trust,parliamentary-under-secretary-to-the-minister-for-media-and-communications
national-pacific-radio-trust,chairman
natural-hazards-commission,chief-executive
natural-hazards-commission,board-chair
nelson-city-council,mayor
nelson-city-council,chief-executive
nelson-marlborough-institute-of-technology,chief-executive
nelson-marlborough-institute-of-technology,chair
nelsonmarlborough-fish-and-game-council,minister-of-conservation
nelsonmarlborough-fish-and-game-council,manager
nelsonmarlborough-fish-and-game-council,chairperson
network-for-learning-limited,minister-of-education
network-for-learning-limited,board-chair
network-for-learning-limited,chief-executive
new-plymouth-district-council,acting-chief-executive
new-plymouth-district-council,mayor
new-zealand-antarctic-institute,minister-of-foreign-affairs
new-zealand-antarctic-institute,chief-executive
new-zealand-antarctic-institute,chair
new-zealand-army,chief-of-army
new-zealand-blood-service,minister-of-health
new-zealand-blood-service,associate-minister-of-health
new-zealand-blood-service,chief-executive-officer
new-zealand-blood-service,chairperson
new-zealand-council-for-educational-research,director
new-zealand-customs-service,minister-of-customs
new-zealand-customs-service,acting-chief-executive-and-comptroller
new-zealand-defence-force,associate-minister-of-defence
new-zealand-defence-force,minister-of-defence
new-zealand-defence-force,chief-of-defence-force
new-zealand-defence-force,chief-of-navy
new-zealand-defence-force,chief-of-army
new-zealand-defence-force,chief-of-air-force
new-zealand-film-commission,minister-for-arts-culture-and-heritage
new-zealand-film-commission,chair
new-zealand-film-commission,chief-executive
new-zealand-fish-and-game-council,minister-of-conservation
new-zealand-fish-and-game-council,minister-for-hunting-and-fishing
new-zealand-fish-and-game-council,chairperson
new-zealand-fish-and-game-council,chief-executive
new-zealand-food-innovation-network,acting-chief-executive-officer
new-zealand-game-bird-habitat-trust-board,minister-of-conservation
new-zealand-game-bird-habitat-trust-board,chairperson
new-zealand-geographic-board,chairperson-surveyor-general
new-zealand-government-property-corporation,minister-of-finance
new-zealand-government-property-corporation,associate-minister-of-finance
new-zealand-green-investment-finance-limited,minister-of-climate-change
